Parameter      | Current  | Autotune 
-------------------------------------
ISF            | 99.000   | 95.882   
CSF            | n/a      | 9.541    
Carb Ratio     | 10.000   | 10.049   
Basal Profile  |          |          
  00:00        | 0.825    | 0.826    
  00:30        |          |          
  01:00        | 0.825    | 0.824    
  01:30        |          |          
  02:00        | 0.825    | 0.823    
  02:30        |          |          
  03:00        | 0.875    | 0.895    
  03:30        |          |          
  04:00        | 0.975    | 1.025    
  04:30        |          |          
  05:00        | 0.875    | 1.014    
  05:30        |          |          
  06:00        | 0.850    | 0.952    
  06:30        |          |          
  07:00        | 0.850    | 0.981    
  07:30        |          |          
  08:00        | 0.950    | 1.031    
  08:30        |          |          
  09:00        | 1.300    | 1.384    
  09:30        |          |          
  10:00        | 1.300    | 1.346    
  10:30        |          |          
  11:00        | 1.400    | 1.444    
  11:30        |          |          
  12:00        | 1.400    | 1.422    
  12:30        |          |          
  13:00        | 1.350    | 1.358    
  13:30        |          |          
  14:00        | 1.350    | 1.335    
  14:30        |          |          
  15:00        | 1.350    | 1.355    
  15:30        |          |          
  16:00        | 1.350    | 1.360    
  16:30        |          |          
  17:00        | 1.300    | 1.300    
  17:30        |          |          
  18:00        | 1.300    | 1.300    
  18:30        |          |          
  19:00        | 1.300    | 1.300    
  19:30        |          |          
  20:00        | 1.300    | 1.300    
  20:30        |          |          
  21:00        | 1.200    | 1.196    
  21:30        |          |          
  22:00        | 1.100    | 1.097    
  22:30        |          |          
  23:00        | 1.000    | 0.997    
  23:30        |          |          
